speaker,speaker_id,コンテンツ数
イーマン・ムハンマド,566,1
ケネス・ツーケル,567,1
ニコラス・スターン卿,568,1
マック・バーネット,569,1
アンドリュー・コノリー,570,1
リシ・マンチャンダ,571,1
ユルドゥス・バハショージナ,572,1
ハンス・ロスリング、オーラ・ロスリング,573,1
ダン・バラシュ,574,1
ザック・エブラヒム,575,1
コリン・グラント,576,1
イサベル・アジェンデ,577,2
ジム・ホルト,578,1
ジル・シャーガー,579,1
サリー・コーン,580,2
ミラ・ヴィジャヤン,581,1
ローズ・ゴスリンガ,582,1
サー・マーティン・リース,583,1
ジーア・ガフィック,584,1
ローレル・ブレイトマン,585,1
ジャレット・クロザスカ,586,1
アジザ・シャウニ,587,1
ティム・バーナーズ=リー,588,2
エリック・リウ,589,1
ダン・パチョルキ,590,1
ニック・ハノーアー,591,1
タリシア・ウィリアムズ,592,1
メーガン・ワシントン,593,1
ジャネット・イワサ,594,1
フバタス・クナーベ,595,1
マーガレット・グールド・スチュワート,596,1
シャイ・レシェフ,597,1
ゼイ・フランク,598,1
ヘザー・バーネット,599,1
シンチェン・ファン,600,1
ニコライ・ベグ,601,1
デイヴィッド・チャーマーズ,602,1
デヴィッド・クォン,603,1
カリマ・ベノウネ,604,1
レナータ・サレーツル,605,1
ニコラス・ネグロポンテ,606,1
伊藤穰一,607,1
ジョージ・タケイ,608,1
ポール・ブルーム,609,2
サイモン・アンホルト,610,1
サラ・ルイス,611,2
クリス・ドーマス,612,1
ジュリアン・トレジャー,613,4
グァ・ワン,614,1
ナオミ・オレスケス,615,1
ローリー・フェイス・クレイナー,616,1
シャカ・センゴア,617,1
ビリー・コリンズ,618,2
ジャミーラ・リスコット,619,1
ルース・チャン,620,1
アン・カーザン,621,1
クワメ・アンソニー・アッピア,622,1
A.J.ジェイコブス,623,1
ウーリ・アロン,624,1
ケレン・エラザリ,625,1
ステラ・ヤング,626,1
ロバート・フル,627,2
ヨルバ・リチェン,628,1
スティーブン・バート,629,1
ダン・ギルバート,630,2
レイ・カーツワイル,631,2
スティング,632,1
ステファン・フレンド,633,1
ジョン・モアレム,634,1
ウェス・モーア,635,1
セバスチャン・ユンガー,636,1
クリス・クルー,637,1
アンドリュー・ソロモン,638,3
ジャッキー・サビッツ,639,1
サイモン・シネック,640,1
リーヴズ,641,1
トリストラム・ワイアット,642,1
ケヴィン・ブリッグス,643,1
デボラ・ゴードン,644,1
ウィリアム・ブラック,645,1
マーク・ロンソン,646,1
ランドール・マンロー,647,1
スタンリー・マッククリスタル,648,1
マルコ・テンペスト,649,6
メロディ・ホブソン,650,1
ギャビン・シュミット,651,1
アンドリュー・バストウラウス,652,1
デイヴィッド・エプスタイン,653,1
ウェンディ・チャン,654,1
エリザベス・ギルバート,655,2
ジェームズ・パッテン,656,1
ハミッシュ・ジョリー,657,1
マイケル・ラバーグ,658,1
マシュー・カーター,659,1
ジェレミー・カスディン,660,1
ノーマン・スパック,661,1
ジェニフェアー・シニア,662,1
デイビット・ブルックス,663,1
ギャビー・ギフォーズとマーク・ケリー,664,1
ディビッド・センゲ,665,1
ルイ・シュワルツバーグ,666,3
クリス・エムディン,667,1
アマンダ・バーデン,668,1
ローレンス・レッシグ,669,3
ジェニファー・ゴルベック,670,1
ビル・ゲイツ、メリンダ・ゲイツ,671,1
TEDスタッフ,672,1
アラン・アダムズ,673,1
ジーナ・ロセロ,674,1
ヒュー・ハー,675,1
デル・ハーヴェイ,676,1
エド・ヨン,677,1
ブラン・フェレン,678,1
ジアウディン・ユスフザイ,679,1
ラリー・ペイジ,680,1
シャーミアン・グーチ,681,2
リチャード・レジェット,682,1
クリス・ハドフィールド,683,1
ダニエル・リーゼル,684,1
エドワード・スノーデン,685,1
スティーブン・ピンカー、レベッカ・ニューバーガー・ゴールドスタイン,686,1
キャリン・ボンダー,687,1
トビー・シャプシャク,688,1
アン・マリー・スローター,689,1
クレイトン・キャメロン,690,1
アジト・ナラヤナン,691,1
マヌ・プラカシュ,692,1
ガブリエル・バルシア=コロンボ,693,2
フィリップ・エバンス,694,1
メアリー・ルー・ジェプセン,695,1
アネット・ホイザー,696,1
ヘンリー・リン,697,1
キャサリン・ブレイシー,698,1
シッダールタン・チャンドラン,699,1
クリストファー・ライアン,700,1
ロザリンデ・トーレス,701,1
モリー・スティーブンス,702,1
ルパル・パテル,703,1
クリス・マクネット,704,1
レイラ・アジャラルー,705,1
デヴィッド・パットナム,706,1
アパルナ・ラオ,707,2
アレックス・ウィスナー=グロス,708,1
テディー・クルズ,709,1
ダン・バーケンストック,710,1
エスタ・ソーラー,711,1
マヤ・ペン,712,1
ニコラ・ペロニー,713,1
マッケンナ・ポープ,714,1
アン・ミルグラム,715,1
アナン・アガワル,716,1
ジョー・コーワン,717,1
ポーラ・ジョンソン,718,1
シェリーン・エルフェキ,719,3
ガイ・ホフマン,720,1
ルーク・サイスン,721,1
シェリル・サンドバーグ,722,2
マーク・ケンドル,723,1
ハリッシュ・マンワニ,724,1
ライアン・ホラデイ,725,1
フレデリック・カプラン,726,1
サンドラ・アーモット,727,1
ロジャー・スタイン,728,1
メイスーン・ザイード,729,1
ミック・コーネット,730,1
ダイアナ・ナイアド,731,2
ポール・ピフ,732,1
クリスタ・ドナルドソン,733,1
マルコ・アンヌンツィアータ,734,1
トニー・グリフィン,735,1
ローズ・ジョージ,736,1
スティーブン・ケイヴ,737,1
エディ・カルタヤ,738,1
ディエベド・フランシス・ケレ,739,1
ボイド・ヴァーティ,740,1
エンリケ・ペニャロサ,741,1
デイビッド・ラング,742,1
ジュラルディン・ハミルトン,743,1
トビー・エクルズ,744,1
デヴィッド・スタインドル=ラスト,745,1
スザーナ・エルクラーノ＝アウゼル,746,1
ジャレド・ダイアモンド,747,1
ピーター・ドゥーリトル,748,1
アンドレアス・ラプトポウラス,749,1
ヘンリー・エヴァンズ＆チャド・ジェンキンス,750,1
グレッグ・アスナー,751,1
リアン・ピン・コウ,752,1
ジェーン・マクゴニガル,753,3
ステファン・ラーソン,754,1
モハメド・アリ,755,1
クリス・ダウニー,756,1
アーサー・ベンジャミン,757,2
ミッコ・ヒッポネン,758,3
グレゴワール・クルティーヌ,759,1
ロビン・ネーグル,760,1
ロドリゴ・カナレス,761,1
ホリー・モリス,762,1
アブハ・デウェザール,763,1
マリアナ・マッツカート,764,1
ハビエル・ビラルタ,765,1
ジャン・ジュディチェ,766,1
パルル・セガル,767,1
チャールズ・ロバートソン,768,1
スティーブ・ハワード,769,1
ヘテン・パテル,770,1
アレサンドロ・アクイスティ,771,1
イワン・バーン,772,1
アマンダ・ベネット,773,1
アンドリュー・フィッツジェラルド,774,1
ゲリー・スラトキン,775,1
トリタ・パルシ,776,1
ジャネット・サディク=カーン,777,1
マイケル・サンデル,778,2
マイケル・ポーター,779,1
ジェイソン・ポンティン,780,1
ファビアン・エーフナー,781,1
エイミー・ウェブ,782,1
ケリー・スウェイジー,783,1
マルコム・グラッドウェル,784,2
ケビン・ブリール,785,1
ジェームズ・フリン,786,1
オノラ・オニール,787,1
エリザベス・ロフタス,788,1
ベンジャミン・バーバー,789,1
アンドラス・フォーガッシュ,790,1
エリック・バーロウ、ショーン・ゴーリー,791,1
マーラ・スピヴァク,792,1
ジェームズ・ライン,793,1
アポロ・ロビンス,794,1
ソニア・シャー,795,1
ロン・マッカラム,796,1
ジェイク・バートン,797,1
アレクサ・ミード,798,1
クリスティア・フリーランド,799,1
ケリー・マクゴニガル,800,1
アダム・スペンサー,801,1
メイ・エル＝カリル,802,1
"スティーブ・ラミレス, シュウ・リュウ",803,1
ラッセル・フォスター,804,1
坂 茂,805,1
